,Lieferant,Umsatz (EUR),Datum,Lieferant Abk.
0,Antiquariat allgemeine,0.00,2020-10-01,Antiquariat
1,Schildkröte Buchhandlung AG,0.00,2020-10-01,Schildkröte Buchhandlung
2,Rosa Arbeiter Vereinigung,0.00,2020-10-01,Rosa Arbeiter
3,HDGDL Buch,0.00,2020-10-01,HDGDL Buch
4,Eschenbach Verlag,0.00,2020-10-01,Eschenbach Verlag
5,Sappho bookshop,0.00,2020-10-01,Sappho
6,Unser Glück Verlag,0.00,2020-10-01,Unser Glück Verlag
7,Schwalben Medien GmbH,0.00,2020-10-01,Schwalben Medien
8,Golden Leaves Musikverlag,0.00,2020-10-01,Golden Leaves Musikverlag
9,Tassen,0.00,2020-10-01,Tassen
10,schwarze Botin,0.00,2020-10-01,schwarze Botin
11,Buchhandlung Wal,0.00,2020-10-01,Buchhandlung Wal
12,FuP Informationen e.V.,0.00,2020-10-01,FuP Informationen
13,Leslie Ben Ron International,0.00,2020-10-01,Leslie Ben Ron
14,LiC Vinyl,0.00,2020-10-01,LiC Vinyl
